Name,Authors,Reviews
,Renee M.,Brand new Restaurant. They are all about the hand roll. Nori is like no other I have tasted and they give you one roll at a time. They want you to experience each roll as it is crispy and fresh and not soggy. The chefs are very nice and the owner came by to talk to us. He owns Raki Raki and Pokerito and is very personable and friendly. He seems to care about producing a quality product. Tried the Ikura (Salmon Roe) and was one of the freshest I have ever had. I actually judge my opinion of the Restaurant with the quality of their Ikura. My husband loved it and he is not normally a fan. Great place to try. We will return.
,Vivian C.,"YES. Finally a hand roll sushi concept in San Diego. This place is amazing. There was no wait during the soft opening, but I'd expect crowds to flock here as people learn about this place. The negi toro and spicy salmon are my favorite."
,Shigeo H.,Dinning innovation! You have to be there to sense it and taste it. You will like it for sure. guaranteed! Enjoy your Temaki!\nA sushi lover
,Skull C.,Tasty but expensive for what it is. This place is basically sugar fish from Los Angeles but mostly focused on hand rolls. While tasty the prices are kind of not worth it for the food you get. We spent $50 and felt like we wanted a ramen next door. Still I might go back if I wanted a light fresh meal.
,Ana C.,"This is probably one of my new favorite spots in Convoy. No other place can touch their customer service. Plus, they have cute modern decor which makes you feel really comfortable."
,Jake T.,"Fantastic experience here. Delightfully Unique. Good date spot or if you're just looking for something trendy and new. Lobster Temaki was my favorite, but everything was good."
,Justin Y.,Stumbled into this place while waiting for Ramen next door. Opened by the same chef as Rakiraki. The hand rolls were divine. The blue crab roll was our favorite. The service was exceptional and the sushi chefs were very personable.
,Joseph S.,"Crispy hand rolls.  Cool combos, although I went for a la carts to have the wagyu and other specialty items. Did I mention crispy hand rolls."
,John W.,So glad to have such a quality venue in the neighborhood! Being in the industry myself I tend to have high expectations. But this is the first time in a long while that the experience went way above any experience I've had while dining out. Service was amazing and the rolls were some the best I've had! There's no doubt I'll be returning constantly! I highly recommend anyone to do the same!
,ntent=,ntent=
